"Category_ID","FirstCategory","SecondCategory"
"1","Buffet style","Cafe"
"2","Bistro","Steak"
"3","Izakaya (Tavern)","Japanese food (other)"
"4","Okonomiyaki","Izakaya (Tavern)"
"5","Chinese hot pot / fire pot","Chinese"
"6","Bar","Italian"
"7","Italian","Bar"
"8","Izakaya (Tavern)","Creative cuisine"
"9","Izakaya (Tavern)","Bar"
"10","Izakaya (Tavern)","Kyoto Cuisine"
"11","French","Italian"
"12","Italian","French"
"13","Shabu Shabu (Japanese Steamboat)","Fugu (Blowfish)"
"14","Italian","Dining bar"
"15","Sukiyaki","Yakitori (Grilled chicken)"
"16","Izakaya (Tavern)","Nihonshu (Japanese sake)"
"17","Bar","Izakaya (Tavern)"
"18","Izakaya (Tavern)","Seafood"
"19","Spain","Izakaya (Tavern)"
"20","Bistro","Italian"
"21","Yakitori (Grilled chicken)","Fowl"
"22","Pork Shabu Shabu","Shabu Shabu (Japanese Steamboat)"
"23","Izakaya (Tavern)","Yakitori (Grilled chicken)"
"24","Italian","Western Cuisine"
"25","Tempura","Seafood"
"26","Izakaya (Tavern)","Chinese"
"27","Yakitori (Grilled chicken)","Kyoto Cuisine"
"28","Yakiniku (BBQ Beef)","Sukiyaki"
"29","Izakaya (Tavern)","Dining bar"
"30","Teppanyaki","Steak"
"31","Bar","Bistro"
"32","Yakiniku (BBQ Beef)","Horumon (BBQ Offel)"
"33","Kappo (Traditional Japanese)","Steak"
"34","Bistro","Bar"
"35","Italian","Pasta"
"36","Izakaya (Tavern)","Kappo (Traditional Japanese)"
"37","Tempura","Kaiseki (Traditional Japanese)"
"38","Italian","Pizza"
"39","Okinawan Cuisine","Izakaya (Tavern)"
"40","Yakiniku (BBQ Beef)","Shabu Shabu (Japanese Steamboat)"
"41","Teppanyaki","Kyoto Cuisine"
"42","Yakitori (Grilled chicken)","Izakaya (Tavern)"
"43","Dining bar","Steak"
"44","Creative cuisine","Izakaya (Tavern)"
"45","Yakiniku (BBQ Beef)","Korean cuisine"
"46","Kaiseki (Traditional Japanese)","Kyoto Cuisine"
"47","Izakaya (Tavern)","Sukiyaki"
"48","Chinese","Dim sum"
"49","Kyoto Cuisine","Kaiseki (Traditional Japanese)"
"50","Bar","Sumibiyaki"
"51","French","Restaurants (other)"
"52","Tempura","Ten-don (Tempura Bowl)"
"53","Izakaya (Tavern)","Kushi-age (Fried Skewer)"
"54","Yakiniku (BBQ Beef)","Bar"
"55","Teppanyaki","Izakaya (Tavern)"
"56","Italian","Spain"
"57","Spain","Italian"
"58","Steak","Sushi"
"59","Sushi","Seafood"
"60","Dining bar","Izakaya (Tavern)"
"61","Bar","Wine bar"
"62","Izakaya (Tavern)","Chanko Nabe (Sumo Wrestlers Hot Pot)"
"63","Yakiniku (BBQ Beef)","Izakaya (Tavern)"
"64","Korean cuisine","Yakiniku (BBQ Beef)"
"65","Italian","Izakaya (Tavern)"
"66","Bar","Steak"
"67","Kushi-age (Fried Skewer)","Izakaya (Tavern)"
"68","Fowl","Yakitori (Grilled chicken)"
"69","French","Western Cuisine"
"70","Unagi (Freshwater eel)","Kyoto Cuisine"
"71","Izakaya (Tavern)","Tofu"
"72","Viet Nam cuisine","Cafe"
"73","Beer garden","Beer"
"74","Kyoto Cuisine","Creative cuisine"
"75","Dumplings","Chinese"
"76","Kappo (Traditional Japanese)","Japanese food (other)"
"77","Izakaya (Tavern)","Italian"
"78","Spain","Dining bar"
"79","Sichuan Cuisine","Shanghai Cuisine"
"80","Italian","Cafe"
"81","Steak","Izakaya (Tavern)"
"82","French","Modern French"
"83","Fugu (Blowfish)","Kappo (Traditional Japanese)"
"84","Izakaya (Tavern)","Teppanyaki"
"85","Sushi","Kappo (Traditional Japanese)"
"86","Yakitori (Grilled chicken)","Sukiyaki"
"87","Izakaya (Tavern)","Fowl"
"88","Chiritori nabe (tripe)","Korean cuisine"
"89","Japanese food (other)","Izakaya (Tavern)"
"90","Izakaya (Tavern)","Wine bar"
"91","Steak","Beer"
"92","Izakaya (Tavern)","Okinawan Cuisine"
"93","Kaiseki (Traditional Japanese)","Seafood"
"94","Italian",""
"95","Kappo (Traditional Japanese)","Creative cuisine"
"96","Cafe","Steak"
"97","Kappo (Traditional Japanese)","Wine bar"
"98","Tempura","Sushi"
"99","Spain","Bar"
"100","Cafe","Crepes"
"101","Kushi-age (Fried Skewer)",""
"102","Izakaya (Tavern)","Dumplings"
"103","Dining bar","Italian"
"104","Cafe","Burger"
"105","Shanghai Cuisine","Cantonese Cuisine"
"106","Bar","Bar"
"107","Yakiniku (BBQ Beef)",""
"108","Kyoto Cuisine","Japanese food (other)"
"109","Kyoto Cuisine","Shojin Cuisine (Buddhist Cuisine)"
"110","Sweets","Japanese food (other)"
"111","Dining bar","Creative cuisine"
"112","Udon","Japanese food (other)"
"113","Dining bar","Kappo (Traditional Japanese)"
"114","Izakaya (Tavern)","Okonomiyaki"
"115","Steak","Bar"
"116","Western (Others)","French"
"117","French","Bistro"
"118","Bistro","Seafood"
"119","Dining bar","Cafe"
"120","Horumon (BBQ Offel)","Yakiniku (BBQ Beef)"
"121","Vegetable dishes","Izakaya (other)"
"122","Kappo (Traditional Japanese)","Kaiseki (Traditional Japanese)"
"123","Bar","Lounge"
"124","Izakaya (Tavern)","Regional Cuisine (Other)"
"125","Kaiseki (Traditional Japanese)","Shabu Shabu (Japanese Steamboat)"
"126","Okonomiyaki","Horumon (BBQ Offel)"
"127","Regional Cuisine (Other)","Nihonshu (Japanese sake)"
"128","Steak","Yakiniku (BBQ Beef)"
"129","Izakaya (Tavern)","Pasta"
"130","Okonomiyaki","Teppanyaki"
"131","Motsu Nabe (Offel Hot Pot)","Izakaya (Tavern)"
"132","Thailand cooking","Izakaya (Tavern)"
"133","Western Cuisine","French"
"134","Korean cuisine","Izakaya (Tavern)"
"135","Bar","Nihonshu (Japanese sake)"
"136","Bar","Dining bar"
"137","Kappo (Traditional Japanese)","Shabu Shabu (Japanese Steamboat)"
"138","Bar","Western (Others)"
"139","Izakaya (Tavern)","Steak"
"140","Hot Pot (other)","Kyoto Cuisine"
"141","Yakiniku (BBQ Beef)","Seafood"
"142","Italian","Wine bar"
"143","Tofu","Yuba"
"144","Izakaya (Tavern)","Tempura"
"145","Izakaya (Tavern)","Horumon (BBQ Offel)"
"146","Steak","French"
"147","Seafood","Kyoto Cuisine"
"148","Seafood","Izakaya (Tavern)"
"149","Ryokan","Auberge"
"150","Beef dishes","Wine bar"
"151","Kappo (Traditional Japanese)","Izakaya (Tavern)"
"152","Steak","Creative cuisine"
"153","Izakaya (Tavern)","Motsu Nabe (Offel Hot Pot)"
"154","Kushi-age (Fried Skewer)","Japanese food (other)"
"155","Steak","Western Food (Other)"
"156","Beer garden","BBQ"
"157","French","Kyoto Cuisine"
"158","Hamburger Steak","Western Cuisine"
"159","Kappo (Traditional Japanese)",""
"160","Izakaya (Tavern)","Dandan noodles"
"161","Teppanyaki","Okonomiyaki"
"162","Izakaya (Tavern)","Vegetable dishes"
"163","Thailand cooking","Thai Curry"
"164","Shabu Shabu (Japanese Steamboat)","Sukiyaki"
"165","Dining bar","Bar"
"166","Suppon (Soft-shelled Turtle)","Hot Pot (other)"
"167","Italian","Vegetable dishes"
"168","Bar",""
"169","Tempura","Izakaya (Tavern)"
"170","Mexico cuisine","Bar"
"171","Italian","Sumibiyaki"
"172","Kappo (Traditional Japanese)","Kyoto Cuisine"
"173","Kappo (Traditional Japanese)","Seafood"
"174","Nihonshu (Japanese sake)","Cafe"
"175","European-style Curry","Curry rice"
"176","Wine bar","Izakaya (Tavern)"
"177","Wine bar","Italian"
"178","Izakaya (Tavern)","Oden"
"179","Kaiseki (Traditional Japanese)","Izakaya (Tavern)"
"180","Bar","Pub"
"181","Bar","Chinese"
"182","Pasta","Cafe"
"183","Kaiseki (Traditional Japanese)","Beef dishes"
"184","Western Cuisine","Buffet style"
"185","Yakitori (Grilled chicken)","Kushi-age (Fried Skewer)"
"186","Izakaya (Tavern)","Hot Pot (other)"
"187","Izakaya (Tavern)","Korean cuisine"
"188","Bar","Spain"
"189","Dining bar","Curry rice"
"190","Steak","Teppanyaki"
"191","Bar","Seafood"
"192","Cafe","Italian"
"193","Kyoto Cuisine","Seafood"
"194","Kaiseki (Traditional Japanese)","Tofu"
"195","Mexico cuisine","Cafe"
"196","Fowl","Hot Pot (other)"
"197","Teppanyaki","Japanese food (other)"
"198","Izakaya (Tavern)",""
"199","Dining bar","Western (Others)"
"200","Ryokan","Kaiseki (Traditional Japanese)"
"201","Kaiseki (Traditional Japanese)","Fugu (Blowfish)"
"202","Chinese","Izakaya (Tavern)"
"203","French","Creative cuisine"
"204","Dining bar","Teppanyaki"
"205","Viet Nam cuisine","Asian & ethnic cuisine (and others)"
"206","Crepes","Cafe"
"207","Italian","Restaurants (other)"
"208","Cafe","Sweets"
"209","Teppanyaki",""
"210","Izakaya (Tavern)","Yakiniku (BBQ Beef)"
"211","Pizza","Italian"
"212","Izakaya (Tavern)","Spain"
"213","Izakaya (Tavern)","Sumibiyaki"
"214","Korean cuisine","table d'hôte"
"215","Steak","Kaiseki (Traditional Japanese)"
"216","Modern French","Italian"
"217","Chinese","Dandan noodles"
"218","Bar","French"
"219","Izakaya (Tavern)","Kushiyaki (Grilled skewer)"
"220","Buffet style","Kyoto Cuisine"
"221","Cafe","Hamburger Steak"
"222","Yakiniku (BBQ Beef)","Japanese food (other)"
"223","Cafe","Dining bar"
"224","Western Food (Other)","Buffet style"
"225","Yakiniku (BBQ Beef)","Steak"
"226","Steak","Hamburger Steak"
"227","Dumplings","Izakaya (Tavern)"
"228","Buffet style","Kaiseki (Traditional Japanese)"
"229","Chinese","Cantonese Cuisine"
"230","Izakaya (Tavern)","Bistro"
"231","Sushi","Creative cuisine"
"232","Yakiniku (BBQ Beef)","Meat dishes"
"233","Izakaya (Tavern)","Fugu (Blowfish)"
"234","Oden","Izakaya (Tavern)"
"235","Crab","Fugu (Blowfish)"
"236","Meat dishes","Regional Cuisine (Other)"
"237","Chinese","Sichuan Cuisine"
"238","Creative cuisine","Kyoto Cuisine"
"239","Buffet style","Izakaya (other)"
"240","Shabu Shabu (Japanese Steamboat)","Izakaya (Tavern)"
"241","Yakiniku (BBQ Beef)","Kyoto Cuisine"
"242","Champon Noodle","Ramen"
"243","Bistro","Western Cuisine"
"244","Creative cuisine","Japanese food (other)"
"245","Standing style soba","Izakaya (Tavern)"
"246","Izakaya (Tavern)","Pizza"
"247","Izakaya (Tavern)","Robatayaki"
"248","Italian","Bistro"
"249","Kyoto Cuisine","Kappo (Traditional Japanese)"
"250","Izakaya (Tavern)","Gyutan (Beef tongue)"
"251","French","Western Food (Other)"
"252","Thailand cooking",""
"253","Kaiseki (Traditional Japanese)","Sushi"
"254","Other",""
"255","Beef dishes","French"
"256","Hamburger Steak","Steak"
"257","Fugu (Blowfish)","Hot Pot (other)"
"258","Buffet style","Western Cuisine"
"259","Dining bar","Thailand cooking"
"260","Creative cuisine","Sushi"
"261","Kappo (Traditional Japanese)","Sushi"
"262","Izakaya (Tavern)","Takoyaki"
"263","Seafood","Sushi"
"264","Soba","Kamameshi (Clay pot rice)"
"265","Kappo (Traditional Japanese)","Dining bar"
"266","Ramen","Boneless deep-fried chicken"
"267","Pizza","Dining bar"
"268","Wine bar","Bar"
"269","Stand Bar","Dining bar"
"270","Thailand cooking","Creative cuisine"
"271","Ramen","Tsukemen"
"272","Kaiseki (Traditional Japanese)","Japanese food (other)"
"273","Ryokan","Kyoto Cuisine"
"274","Yakiniku (BBQ Beef)","Gyutan (Beef tongue)"
"275","Kyoto Cuisine","Tofu"
"276","Korean cuisine","Asian & ethnic cuisine (and others)"
"277","Pancake","Shaved ice (snow cone)"
"278","French",""
"279","Dandan noodles","Ramen"
"280","Ramen",""
"281","Ramen","Chinese"
"282","Soba","Kappo (Traditional Japanese)"
"283","Bar","Cafe"
"284","Sushi",""
"285","Italian","Yakiniku (BBQ Beef)"
"286","Pub","Beer"
"287","Yakiniku (BBQ Beef)","Chiritori nabe (tripe)"
"288","Kaiseki (Traditional Japanese)","Kappo (Traditional Japanese)"
"289","Horumon (BBQ Offel)","Motsu Nabe (Offel Hot Pot)"
"290","Cafe","Pasta"
"291","Soba","Izakaya (Tavern)"
"292","India cuisine","Indian curry"
"293","Takoyaki",""
"294","Fried Foods (other)","Kappo (Traditional Japanese)"
"295","Hamburger Steak","Croquette"
"296","Sichuan Cuisine","Chinese"
"297","Sushi","Izakaya (Tavern)"
"298","Cafe","Pancake"
"299","Cafe","Western Food (Other)"
"300","Chinese","Ramen"
"301","Kushi-age (Fried Skewer)","Creative cuisine"
"302","Pasta","Italian"
"303","Buffet style","Teppanyaki"
"304","Bread","Cafe"
"305","Korean cuisine","Ramen"
"306","Bar","Yakiniku (BBQ Beef)"
"307","Kushi-age (Fried Skewer)","Yakitori (Grilled chicken)"
"308","Yakiniku (BBQ Beef)","Creative cuisine"
"309","French","Mediterranean"
"310","Curry (other)","Dining bar"
"311","Beer","beer restaurant"
"312","Robatayaki","Seafood"
"313","Cafe","Izakaya (other)"
"314","Kaiseki (Traditional Japanese)","Udon Suki"
"315","Okonomiyaki","Chow Mein Noodle"
"316","Kappo (Traditional Japanese)","Fugu (Blowfish)"
"317","Bistro","French"
"318","Ramen","Dumplings"
"319","Buffet style","Shabu Shabu (Japanese Steamboat)"
"320","Tempura","Bar"
"321","Buffet style","Sushi"
"322","Sichuan Cuisine","Dim sum"
"323","Spain","Pizza"
"324","French","Cafe"
"325","Kyoto Cuisine","Nihonshu (Japanese sake)"
"326","Udon",""
"327","Steak","Sukiyaki"
"328","Cafe","Japanese food (other)"
"329","Fowl","Izakaya (Tavern)"
"330","Café / coffee shop (and others)","Sweets"
"331","Izakaya (other)","Bar"
"332","Bar","Motsu Nabe (Offel Hot Pot)"
"333","Sweets","Japan tea shoppe"
"334","Sumibiyaki","Yakitori (Grilled chicken)"
"335","table d'hôte","Western Cuisine"
"336","Tonkatsu (Pork cutlet)","Sandwich"
"337","Buffet style",""
"338","Yakitori (Grilled chicken)","Shochu (Japanese spirits)"
"339","Dining bar","Japanese food (other)"
"340","Kaiseki (Traditional Japanese)",""
"341","Oyako-don (Chicken Bowl)","Soba"
"342","Pasta","Pizza"
"343","Buffet style","Yakiniku (BBQ Beef)"
"344","Chinese","Bento (Lunch box)"
"345","Ryokan","Crab"
"346","Kyoto Cuisine","Tempura"
"347","Kyoto Cuisine","French"
"348","Udon Suki","Soba"
"349","Dining bar","Motsu Nabe (Offel Hot Pot)"
"350","Korean cuisine","Korean hot pot"
"351","Kaiseki (Traditional Japanese)","Angler"
"352","Cantonese Cuisine","Dim sum"
"353","Izakaya (Tavern)","Mizutaki"
"354","Soba","Udon"
"355","Cafe",""
"356","Dining bar","Beer"
"357","Innovative cuisine","Fusion cuisine"
"358","Parfait","Japan tea shoppe"
"359","Cafe","Kyoto Cuisine"
"360","Hamburger Steak","Western (Others)"
"361","Pancake","Cafe"
"362","Cafe","Coffee shoppe"
"363","Ryokan",""
"364","Sichuan Cuisine","Cantonese Cuisine"
"365","Pork Shabu Shabu","Kyoto Cuisine"
"366","Genghis Khan (BBQ Rum)","Motsu Nabe (Offel Hot Pot)"
"367","Cafe","Sweets (and others)"
"368","Seafood","Robatayaki"
"369","Yakiniku (BBQ Beef)","Kaiseki (Traditional Japanese)"
"370","Izakaya (Tavern)","Ramen"
"371","Buffet style","Creative cuisine"
"372","Traditional Café","Cafe"
"373","Kyoto Cuisine","Hot Pot (other)"
"374","Okonomiyaki","Monjya yaki"
"375","Izakaya (Tavern)","Udon"
"376","Yakitori (Grilled chicken)","Motsu Nabe (Offel Hot Pot)"
"377","Tsukemen","Ramen"
"378","Indonesia cuisine",""
"379","Izakaya (Tavern)","Kaiseki (Traditional Japanese)"
"380","Beer bar","Bar"
"381","Ramen","Gyoza"
"382","Tempura","Kushiage"
"383","Curry","Indian"
"384","Udon","Soba"
"385","Kaiseki","Kyoto Cuisine"
"386","Cafe","Sandwich"
"387","Italian","Wine Bar"
"388","Traditional Tea","Wagashi"
"389","Yakiniku","Korean"
"390","Bar","Cocktail"
"391","Western","Hamburger"
"392","Local Food","Izakaya (Tavern)"
"393","Seafood","Sashimi"
"394","Kushiage","Kushiyaki"
"395","Sweets","Cake"
"396","Ramen","Chashu"
"397","Japanese Food","Sushi"
"398","Yakitori","Skewers"
"399","Yakiniku","Korean BBQ"
"400","Diner","Local Cuisine"
"401","Pub","Bar"
"402","Sushi","Sashimi"
"403","Traditional Tea","Matcha"
"404","Sushi","Edomae"
"405","Okonomiyaki","Yakisoba"
"406","Udon","Tempura"
"407","Diner","Western"
"408","Pub","Izakaya (Tavern)"
"409","Cafe","Espresso"
"410","Buffet","Western"
"411","Sweets","Traditional Tea"
"412","Diner","Local Food"
